Sklopljeni brakovi (Dob starosti);2014;2015;2016;2017;2018;2019
Sklopljeni brakovi ženika (25-29);6731;6747;6904;6569;6356;6219
Sklopljeni brakovi ženika (30-34);5660;5737;5872;5890;5629;5529
Sklopljeni brakovi ženika (35-39);2267;2478;2685;2649;2688;2691
Sklopljeni brakovi ženika (40-44);1045;1016;1079;1237;1203;1265
Sklopljeni brakovi ženika (45-49);555;594;634;595;663;653
Sklopljeni brakovi nevjeste (25-29);7423;7610;7714;7555;7441;7224
Sklopljeni brakovi nevjeste (30-34);4034;3961;4274;4180;4111;4098
Sklopljeni brakovi nevjeste (35-39);1393;1568;1637;1734;1737;1735
Sklopljeni brakovi nevjeste (40-44);607;627;714;747;799;873
Sklopljeni brakovi nevjeste (45-49);370;417;423;462;469;485
